ID,Sampling site,Sampling time,C3mean,C3sd,C35,C325,C350,C375,C395,C4mean,C4sd,C45,C425,C450,C475,C495,Soilmean,Soilsd,Soil5,Soil25,Soil50,Soil75,Soil95,Planktonmean,Planktonsd,Plankton5,Plankton25,Plankton50,Plankton75,Plankton95
179,YY,May-19,0.014480692,0.011127477,0.002707989,0.006333488,0.011429442,0.019266758,0.036924444,0.012906406,0.009759456,0.002500317,0.006087113,0.010417427,0.016749806,0.032762641,0.712545753,0.405494141,0.004296254,0.621840616,0.938438889,0.960981488,0.978906094,0.260067149,0.410560523,0.004791717,0.012332355,0.026087266,0.333206069,0.982136841
180,WS,May-19,0.017319531,0.012985749,0.003164406,0.00810229,0.014034115,0.023038284,0.04224275,0.015189799,0.010797682,0.003121422,0.007413719,0.012631429,0.020110943,0.036060097,0.24573517,0.392889134,0.004055346,0.011131844,0.02108546,0.274083046,0.956673079,0.721755499,0.397920997,0.011576023,0.684040126,0.94330475,0.963294042,0.980315879
181,ZG,May-19,0.026664329,0.018626048,0.005294382,0.012969313,0.022605645,0.035575005,0.063272334,0.026256541,0.018450587,0.005353131,0.012929578,0.021553874,0.035001985,0.062636199,0.049202602,0.094311915,0.006156626,0.016645953,0.030721062,0.05379248,0.113516229,0.897876528,0.099586684,0.821939005,0.88193055,0.913712029,0.938419009,0.965967746
182,BX,May-19,0.089208652,0.056070305,0.018606263,0.045933708,0.07860354,0.120815206,0.195840287,0.08220279,0.051217634,0.017819397,0.043036214,0.072278768,0.111550168,0.179801903,0.164084383,0.134030753,0.023797061,0.068426687,0.128611593,0.223560515,0.417092484,0.664504175,0.13376734,0.419926019,0.597255175,0.683734375,0.753423855,0.843129454
183,L2,Aug-19,0.029674337,0.020714433,0.006156873,0.01447626,0.024735796,0.039833604,0.069968647,0.031307942,0.022089531,0.0064836,0.014942972,0.02593282,0.041913201,0.074591886,0.071820917,0.14398807,0.007167229,0.018964777,0.036636658,0.066006718,0.165246665,0.867196805,0.14902658,0.758547957,0.860225227,0.898010725,0.928878191,0.959928658
184,L1,Aug-19,0.021552335,0.015488502,0.00422991,0.010286642,0.017804036,0.029018042,0.050731507,0.021655836,0.01550163,0.00423939,0.010418493,0.017738263,0.028876628,0.052111546,0.036615175,0.079600286,0.005066971,0.012824377,0.023477122,0.039950866,0.081152477,0.920176654,0.08389854,0.863122845,0.906869081,0.931178368,0.95162259,0.972481504
185,B7,Aug-19,0.01676806,0.012480468,0.003424299,0.007937199,0.01329282,0.022209052,0.042138957,0.015478592,0.010857784,0.003109353,0.007566779,0.012866024,0.020663306,0.036606196,0.94301802,0.028069021,0.888088692,0.92804485,0.947810452,0.963580319,0.979325547,0.024735328,0.019876275,0.004176108,0.010846801,0.019268085,0.032850944,0.065459397
186,B6,Aug-19,0.024114796,0.017686107,0.004685537,0.011499927,0.019613458,0.03189208,0.059058632,0.024153133,0.01724145,0.004789185,0.011218559,0.019994326,0.032320634,0.0576436,0.149408815,0.291446654,0.005573166,0.015941681,0.030792405,0.062568462,0.903659794,0.802323256,0.297173899,0.035907253,0.878242267,0.917299737,0.944032952,0.970578409
187,B5,Aug-19,0.038379983,0.026367874,0.007279534,0.018677948,0.032165554,0.051776299,0.089574289,0.039321261,0.027245695,0.007537228,0.018852343,0.032642909,0.053765847,0.093506591,0.075144688,0.101165717,0.009570464,0.02670299,0.050271465,0.087817138,0.197506214,0.847154068,0.107121956,0.721022727,0.816990601,0.865763006,0.903610316,0.947752385
188,B4,Aug-19,0.01825775,0.01302907,0.003579122,0.008912285,0.015123036,0.023975988,0.043820967,0.01858879,0.013643302,0.003391396,0.008576829,0.01522379,0.024868082,0.045402832,0.025695408,0.020420552,0.004568803,0.011242371,0.019926622,0.034460381,0.066461019,0.937458052,0.029581648,0.8806744,0.921636539,0.941790952,0.95869462,0.976990659
189,B3,Aug-19,0.018621258,0.013420031,0.003819049,0.008969549,0.015408786,0.024818117,0.04533197,0.018681247,0.013339024,0.00388775,0.008867121,0.015347811,0.02481672,0.044872041,0.025593599,0.020738525,0.004331526,0.011285081,0.020051879,0.03394663,0.065958958,0.937103896,0.028994063,0.88392433,0.919847092,0.941802431,0.958598381,0.97701468
190,B2,Aug-19,0.022502438,0.016042946,0.004201373,0.010764784,0.018514116,0.030281057,0.053758904,0.021917007,0.015579126,0.004608356,0.010540666,0.017841023,0.029511841,0.052553547,0.07834885,0.198571419,0.00538819,0.014020829,0.025360594,0.044671334,0.807255164,0.877231705,0.202024801,0.120207638,0.900268651,0.928134294,0.949547948,0.970630701
191,B1,Aug-19,0.024042873,0.017440411,0.004635174,0.011277128,0.019793963,0.032170608,0.058043431,0.023640609,0.016136758,0.004687684,0.011919642,0.020145434,0.031558851,0.054766811,0.079663985,0.193333535,0.005565948,0.015096182,0.028647508,0.050383329,0.774684418,0.872652533,0.19698915,0.163228887,0.891487369,0.921223375,0.943768437,0.969340735
192,X1,Aug-19,0.044612403,0.031970632,0.008516788,0.020763758,0.03726447,0.059784248,0.107643203,0.039249233,0.026922887,0.007771129,0.019045267,0.032743394,0.053099442,0.090652265,0.062397939,0.053399441,0.010170052,0.025966556,0.04821977,0.082185151,0.162940534,0.853740425,0.066258726,0.7368393,0.816397168,0.861960296,0.899603612,0.944452265
193,ZT,Jul-19,0.011171306,0.009102474,0.002091325,0.004875838,0.008684725,0.014611779,0.02967508,0.010496902,0.007910414,0.001939318,0.004927569,0.008309939,0.014075931,0.026301499,0.481450343,0.471540856,0.002908781,0.008140386,0.452700006,0.957196777,0.978532963,0.49688145,0.47720777,0.005008532,0.015973036,0.515483885,0.975851208,0.987857367
194,MD,Jul-19,0.018615471,0.014149735,0.00358344,0.00869195,0.014961218,0.024488616,0.04537186,0.017663433,0.013091631,0.003313093,0.008213786,0.014401584,0.023604454,0.04428479,0.21919557,0.370047071,0.004449153,0.011667448,0.023915247,0.061791199,0.946033001,0.744525526,0.375575729,0.015733421,0.891310531,0.938502253,0.958954571,0.977594912
195,FL,Jul-19,0.045068956,0.031175371,0.008940423,0.022021662,0.03828353,0.060313958,0.105608867,0.042591801,0.029708425,0.008288906,0.020316021,0.035388327,0.057526264,0.100482077,0.073374801,0.06667829,0.010452119,0.02934507,0.054949314,0.097606536,0.192762873,0.838964442,0.077231497,0.704748442,0.798410976,0.849340352,0.891382878,0.941262471
196,ZX,Jul-19,0.025496241,0.018200821,0.004874859,0.012279123,0.020997557,0.033617781,0.061368878,0.025564269,0.017772531,0.005484496,0.012191035,0.021199266,0.034470368,0.060933875,0.048611476,0.098527822,0.006247571,0.016642137,0.029674923,0.051201948,0.106978482,0.900328015,0.103503708,0.825663179,0.886454248,0.916936877,0.940073519,0.967678862
197,WZ,Jul-19,0.016373808,0.012551202,0.00322186,0.007700788,0.012895128,0.021281003,0.040686023,0.014775295,0.011157435,0.002829872,0.006832716,0.01185168,0.01936426,0.03693174,0.473431045,0.458365549,0.004089105,0.012647893,0.402649178,0.935894369,0.969737937,0.495419852,0.46471509,0.006899681,0.023979384,0.543158877,0.962832109,0.980788822
198,YY,Jul-19,0.020088773,0.014153217,0.004019903,0.009710884,0.016886047,0.026951329,0.047355386,0.020215579,0.014232782,0.00408424,0.009673809,0.017072868,0.026947533,0.048106024,0.028206556,0.023011779,0.004621485,0.012057748,0.021732258,0.037678315,0.072750928,0.931489093,0.032034562,0.8731826,0.913558318,0.936013068,0.954661899,0.974510333
199,WS,Jul-19,0.024621901,0.017866605,0.004695097,0.011654687,0.020022469,0.033251012,0.059755044,0.02375858,0.01685556,0.004907398,0.011563379,0.019896139,0.031283451,0.056739819,0.039238188,0.068169473,0.00538807,0.014844769,0.026986426,0.04601385,0.094060527,0.912381331,0.073877877,0.841721518,0.894428492,0.922363286,0.945686826,0.969476415
