ID,Sampling site,Sampling time,C3mean,C3sd,C35,C325,C350,C375,C395,C4mean,C4sd,C45,C425,C450,C475,C495,Soilmean,Soilsd,Soil5,Soil25,Soil50,Soil75,Soil95,Planktonmean,Planktonsd,Plankton5,Plankton25,Plankton50,Plankton75,Plankton95
236,XJB1,Jan-22,0.11012912,0.067305567,0.022239352,0.058872741,0.097970939,0.15192946,0.240297149,0.080408966,0.050435769,0.017565825,0.042365458,0.070780445,0.107808904,0.178555727,0.13749186,0.108497273,0.022951018,0.060025004,0.108657625,0.184092485,0.345410662,0.671970054,0.114562756,0.484505703,0.608948171,0.680667026,0.745545851,0.839832122
237,ZT,Dec-21,0.030135341,0.021892755,0.005264615,0.013654441,0.024345672,0.04131424,0.073533444,0.029021741,0.020597742,0.005638256,0.014089412,0.024130453,0.038558892,0.068581323,0.046700391,0.063665679,0.0070751,0.018099903,0.033622788,0.058504904,0.116089486,0.894142527,0.070916624,0.809254077,0.868984515,0.903429963,0.932942404,0.962971158
238,MD,Dec-21,0.133753659,0.076983284,0.030382169,0.072766476,0.122424869,0.181907312,0.273718757,0.130503978,0.074571665,0.030153638,0.072714328,0.118947942,0.17664431,0.271002131,0.277168706,0.184096105,0.044018396,0.126414909,0.245004874,0.39160364,0.637418837,0.458573656,0.15935292,0.151892337,0.362337841,0.478445382,0.572077011,0.68619239
239,FL,Dec-21,0.096989514,0.061206458,0.019430745,0.04973816,0.084941519,0.132131523,0.215877956,0.06953597,0.044055748,0.015391504,0.035820475,0.061307476,0.09456581,0.153447134,0.117909604,0.09656837,0.018542386,0.050794603,0.091661442,0.160602085,0.294091156,0.715564911,0.104826601,0.54889066,0.655006891,0.721672573,0.785366522,0.867957581
240,ZX,Dec-21,0.164170035,0.09018164,0.03487583,0.093525487,0.155413347,0.22478994,0.328129774,0.080186567,0.050843454,0.016936626,0.04206144,0.070227626,0.106957787,0.176380619,0.11839769,0.092790056,0.020641421,0.053455368,0.096366817,0.156805852,0.28895149,0.637245708,0.104873858,0.473518267,0.572585588,0.638318795,0.706173003,0.798891144
241,WZ,Dec-21,0.081042076,0.052435623,0.015383549,0.040669794,0.070645919,0.111141557,0.181419623,0.065326734,0.041844074,0.013903063,0.033972701,0.056257913,0.08801928,0.148297571,0.1141058,0.09562656,0.016292939,0.047835229,0.089173781,0.153829403,0.289748055,0.73952539,0.102161099,0.566406368,0.68106035,0.749394526,0.809021119,0.884160114
242,FJ,Dec-21,0.198728541,0.100135458,0.046836446,0.121674825,0.19275128,0.268757187,0.371898157,0.088551377,0.058319201,0.019375666,0.0452683,0.076045452,0.118489477,0.202163526,0.130457703,0.101159132,0.02365848,0.058510055,0.104916849,0.173198,0.318640794,0.58226238,0.108328482,0.416267051,0.514613892,0.583656854,0.653197939,0.758206295
243,WS,Dec-21,0.199644913,0.102037772,0.045866979,0.123240504,0.192619236,0.268879554,0.380085137,0.086698118,0.056784521,0.019030599,0.043646841,0.074463331,0.115068628,0.197631367,0.130475845,0.103565548,0.02208426,0.058138046,0.104347153,0.173427793,0.32677331,0.583181123,0.111845286,0.403391084,0.516884771,0.58449778,0.656115041,0.758321959
244,BD,Dec-21,0.113848865,0.069765733,0.023790324,0.058768693,0.102290777,0.157871902,0.241713018,0.075654052,0.048541222,0.015615631,0.039577829,0.06559153,0.102221292,0.169516471,0.122371059,0.096145672,0.019812735,0.05443512,0.100495297,0.163344916,0.302927878,0.688126024,0.105185511,0.516226918,0.628786031,0.694032203,0.757917549,0.844403316
245,XXHK ,Dec-21,0.083076705,0.05467219,0.015600951,0.040703086,0.072409764,0.113427549,0.189720906,0.062460719,0.041196511,0.012197321,0.031355462,0.053293617,0.085152985,0.141614315,0.101055407,0.081495629,0.016045875,0.043490925,0.08119254,0.136450957,0.253764827,0.753407169,0.093745008,0.595382116,0.697261232,0.758802394,0.818466176,0.890586575
246,MP,Dec-21,0.112287643,0.068013404,0.024526833,0.058874464,0.100650028,0.151405368,0.245165477,0.086659828,0.053450236,0.01840727,0.045321418,0.077001791,0.118374718,0.187197459,0.165263547,0.132864521,0.022940473,0.068844317,0.131720413,0.224176314,0.412873543,0.635788983,0.130629547,0.415351795,0.571621614,0.649173285,0.720445664,0.820263774
247,SDP,Dec-21,0.029014197,0.020745722,0.00552212,0.013654718,0.023952034,0.039325239,0.070458435,0.028601795,0.020135437,0.005374628,0.013729269,0.023986929,0.038203673,0.067871585,0.048327221,0.065614545,0.006633729,0.018081622,0.034438635,0.060487066,0.1215524,0.894056786,0.07371783,0.803381237,0.869995858,0.904694259,0.933263179,0.963550885
248,WDD5,Mar-22,0.069144149,0.046863372,0.013297223,0.033665353,0.058760579,0.094358122,0.160583076,0.055388719,0.035837922,0.011229399,0.028386451,0.048099068,0.073998753,0.122549059,0.096315628,0.078037702,0.015263339,0.04052396,0.075775701,0.128209465,0.246489217,0.779151504,0.089119916,0.624174661,0.727472288,0.788986866,0.841556054,0.905037904
249,WDD4,Mar-22,0.092256581,0.05898877,0.017397279,0.046878983,0.080641426,0.12625699,0.207249333,0.069770691,0.044411263,0.014863547,0.035875504,0.060791118,0.093411561,0.155328214,0.119929078,0.097128502,0.018983209,0.051803291,0.095333846,0.161914892,0.296307896,0.71804365,0.10323172,0.547794986,0.65895904,0.727124064,0.786098806,0.866633529
250,WDD3,Mar-22,0.073581696,0.048413835,0.014135349,0.037432136,0.064159881,0.099146682,0.167373796,0.061932986,0.040257131,0.013533886,0.030979713,0.053229806,0.084604987,0.141361639,0.110228317,0.09337842,0.016806163,0.045976069,0.083452065,0.149212011,0.283989123,0.754257,0.100847234,0.581916575,0.702009555,0.764299221,0.820681893,0.897046751
251,WDD2,Mar-22,0.099060338,0.062790466,0.020685368,0.051023098,0.08613629,0.135568888,0.222135091,0.073326431,0.045945592,0.01606811,0.037910417,0.064838218,0.098876832,0.160890207,0.13024631,0.106946139,0.01935873,0.055414709,0.103664766,0.171552609,0.329153306,0.697366921,0.110941172,0.514331721,0.637128854,0.707923229,0.769776459,0.856435465
252,BHT3,Mar-22,0.084126797,0.055036776,0.016515679,0.042755052,0.072733613,0.114242773,0.19064849,0.064353343,0.041078107,0.014090373,0.032628981,0.056336345,0.086663469,0.142825517,0.110719482,0.092109153,0.016869773,0.046641415,0.086559545,0.150531544,0.28149042,0.740800378,0.102282558,0.571349453,0.686023566,0.748697645,0.809756659,0.885349624
253,BHT2,Mar-22,0.042953299,0.029845522,0.008507591,0.020120101,0.036462929,0.057848802,0.099924131,0.038116199,0.026318233,0.007928865,0.018256371,0.032305115,0.051405903,0.089379652,0.060854536,0.060002748,0.00978487,0.024427606,0.045386607,0.07829,0.157995902,0.858075966,0.071270673,0.746909715,0.822638356,0.867822511,0.904536315,0.946863175
254,BHT1,Mar-22,0.183486112,0.095768461,0.04284818,0.10867369,0.176980386,0.2491945,0.35380568,0.089344468,0.055850658,0.020487127,0.046606283,0.077621074,0.121318794,0.196886384,0.139791887,0.108809084,0.025721678,0.063493476,0.110636354,0.184538277,0.353220237,0.587377534,0.111222039,0.400548282,0.520430612,0.593211649,0.663076483,0.757116863
255,XLD4,Mar-22,0.035754767,0.024893811,0.007341352,0.017535901,0.02990847,0.047642979,0.083422661,0.035662247,0.024968035,0.007151514,0.016873727,0.029623529,0.048586092,0.083634662,0.061960988,0.073795234,0.00894311,0.023697479,0.043438351,0.077434947,0.159400761,0.866621998,0.081498447,0.752636689,0.837204988,0.878133778,0.915229083,0.952695809
256,XLD3,Mar-22,0.039037531,0.026893648,0.007822926,0.018713691,0.033090705,0.052308757,0.092995018,0.036179509,0.025044754,0.006867094,0.017612414,0.030780019,0.048620252,0.084488543,0.061729636,0.06273791,0.009008945,0.024853979,0.045647202,0.078991787,0.161191642,0.863053324,0.071379926,0.751667723,0.82941809,0.872625604,0.909298339,0.948085104
257,XLD2,Mar-22,0.03480243,0.024603358,0.007042531,0.01658212,0.028885645,0.046498602,0.084634253,0.032045901,0.022385387,0.006494987,0.015536633,0.026598456,0.042544606,0.075924629,0.05037663,0.053500339,0.007680358,0.020511627,0.037884065,0.066165337,0.128354662,0.88277504,0.062708785,0.788028844,0.853245998,0.890581572,0.922761746,0.956935377
258,XLD1,Mar-22,0.133469863,0.08070402,0.026373185,0.069414551,0.11983901,0.18589451,0.283895375,0.070197803,0.046022875,0.01503223,0.035659066,0.06038092,0.093294577,0.158568787,0.104762877,0.077824028,0.018838712,0.048279808,0.085236198,0.1428421,0.251777456,0.691569457,0.095535888,0.536139576,0.626269681,0.693150229,0.756765856,0.84995722
259,XJB4,Mar-22,0.005671882,0.004515077,0.001075578,0.002524243,0.00442742,0.007493529,0.014483203,0.005333951,0.004132549,0.001027083,0.002446069,0.004208932,0.006977131,0.013365222,0.490356688,0.486168761,0.001245861,0.003565132,0.470359276,0.977796547,0.988449304,0.49863748,0.489587753,0.002551447,0.007441333,0.508262942,0.988900346,0.99423699
260,XJB3,Mar-22,0.054167093,0.037414038,0.009766505,0.02615498,0.04511637,0.074286005,0.12764869,0.044824346,0.029812276,0.008804762,0.021914785,0.038450257,0.060785343,0.103629045,0.065323701,0.051713672,0.010430618,0.027964932,0.051063696,0.08741586,0.165785154,0.835684859,0.06734453,0.718600401,0.794940508,0.840500658,0.885477011,0.935359091
261,XJB2,Mar-22,0.054971696,0.038764528,0.009939339,0.025665963,0.045263105,0.074956943,0.130615753,0.047729433,0.032760842,0.009299693,0.023593783,0.040156093,0.064094808,0.111326702,0.078692442,0.067494674,0.012697408,0.033400368,0.060385248,0.105358692,0.209174791,0.81860643,0.08008465,0.683320867,0.772246584,0.828086186,0.87475224,0.929607794
262,XJB1,Mar-22,0.045116797,0.032310013,0.008609682,0.021607583,0.037066705,0.060633296,0.111903759,0.038192567,0.025657912,0.008016825,0.01904051,0.032666504,0.051348114,0.087016967,0.060203576,0.049877556,0.009905588,0.025653294,0.046515771,0.07911154,0.155235334,0.85648706,0.062831327,0.744039023,0.821170596,0.864703872,0.901606842,0.943101477
263,ZT,Apr-22,0.068525244,0.045400862,0.012955279,0.034598258,0.059275246,0.093590518,0.15326445,0.053802579,0.034998919,0.011456144,0.027446562,0.046422765,0.07239566,0.121046798,0.086922244,0.072270977,0.013594549,0.035629803,0.067095798,0.118830411,0.221716333,0.790749933,0.084639539,0.648626646,0.739817951,0.797160733,0.849894884,0.913154531
264,MD,Apr-22,0.061174796,0.04106239,0.011901486,0.030035415,0.05216171,0.083092164,0.139609636,0.049233617,0.032702219,0.011084594,0.024803306,0.04206819,0.065245,0.115180067,0.078616796,0.065386678,0.01191131,0.033225726,0.061409805,0.105032239,0.204496835,0.810974791,0.079696971,0.678592762,0.763871784,0.817731437,0.86719491,0.92522655
265,FL,Apr-22,0.08842411,0.056957145,0.016303388,0.045207971,0.07676653,0.121853868,0.198314488,0.06089778,0.039874665,0.012706492,0.03089778,0.052195314,0.082824872,0.135761977,0.09230985,0.071559325,0.015561109,0.041495437,0.074678898,0.125864387,0.226523466,0.75836826,0.086337551,0.612340664,0.706119708,0.762454161,0.818442641,0.89048057
266,ZX,Apr-22,0.048388087,0.034060632,0.009292563,0.022702706,0.040146769,0.066680289,0.114812655,0.040186511,0.027954949,0.008659444,0.020094695,0.033318506,0.053537415,0.095190572,0.064957865,0.051611784,0.010808642,0.027771652,0.050068349,0.088020931,0.164694829,0.846467537,0.065075586,0.730845834,0.807042288,0.852862451,0.895046636,0.938935629
267,WZ,Apr-22,0.090368281,0.057594583,0.017540405,0.045835442,0.078637312,0.123506077,0.201032202,0.068581842,0.043687218,0.015532465,0.035893364,0.059233064,0.091538155,0.153544288,0.113720885,0.089366894,0.018403647,0.048140509,0.092426557,0.153830618,0.276707843,0.727328992,0.100455859,0.562628622,0.669273477,0.732731672,0.79486996,0.87679233
268,FJ,Apr-22,0.064633713,0.045642844,0.012263776,0.029909787,0.054092266,0.087873111,0.151937762,0.048136524,0.03265842,0.010289521,0.024052703,0.040519807,0.064005245,0.113577968,0.068728296,0.055486366,0.011224731,0.029824821,0.055117896,0.092529059,0.172755275,0.818501467,0.073341931,0.694544442,0.7731987,0.824977889,0.87130229,0.924489615
269,WS,Apr-22,0.051071699,0.035474765,0.00967864,0.024271548,0.042201957,0.07008015,0.121735317,0.042971219,0.028937963,0.008761139,0.020917645,0.036173316,0.05870244,0.100637222,0.068261322,0.058280316,0.010866877,0.028669088,0.052736305,0.091547648,0.17668931,0.83769576,0.071674345,0.71663763,0.795673339,0.844181987,0.88946595,0.93835453
270,BD,Apr-22,0.038853025,0.027386782,0.00705736,0.018668606,0.032385185,0.052461764,0.092275004,0.035765823,0.024731143,0.007447529,0.017422405,0.03002089,0.047508337,0.084476242,0.056799012,0.055638525,0.008723894,0.023040218,0.042440396,0.073337254,0.150017817,0.868582141,0.065758036,0.761726824,0.836304979,0.877077253,0.912134132,0.951052059
271,XXHK ,Apr-22,0.029195475,0.021105948,0.005590282,0.013564983,0.02390155,0.039440678,0.070883044,0.026528318,0.01862904,0.0056461,0.013091161,0.021847478,0.03524435,0.063310665,0.041849006,0.0519848,0.006285602,0.016654671,0.030724183,0.05282561,0.107733417,0.902427202,0.059208761,0.824602627,0.878849903,0.909404065,0.936431486,0.964861787
272,MP,Apr-22,0.035657252,0.025915203,0.006420004,0.016466661,0.028995429,0.048597703,0.086737997,0.030650852,0.020762304,0.006280561,0.015386467,0.026241766,0.040999337,0.071331043,0.045854043,0.036364269,0.007510278,0.019733846,0.035787564,0.061607289,0.11795634,0.887837854,0.050186193,0.796873122,0.857097327,0.893756435,0.925459915,0.957640974
273,SDP,Apr-22,0.064750951,0.044956369,0.011280969,0.030611551,0.054775009,0.087383617,0.153865393,0.049918247,0.033554797,0.0097045,0.025317904,0.042248921,0.067750134,0.114807987,0.078852023,0.064282488,0.013326214,0.034499929,0.062080307,0.106663048,0.194089838,0.806478779,0.079408071,0.675397703,0.759590127,0.813389979,0.863096986,0.91750455
274,WDD5,Jul-22,0.128111685,0.07456763,0.027508297,0.070218393,0.117118375,0.174219839,0.269705693,0.089631566,0.055016833,0.019333708,0.047200589,0.07930146,0.120501484,0.195892573,0.164157739,0.128589473,0.026723775,0.069899887,0.132126807,0.220989156,0.414316645,0.61809901,0.124104882,0.404599022,0.55381914,0.629040095,0.700501345,0.789266165
275,WDD4,Jul-22,0.143310761,0.081739713,0.031267663,0.078747942,0.13381749,0.196689894,0.294263083,0.091390456,0.055935924,0.02064021,0.047830598,0.081026204,0.123072597,0.199529449,0.150176338,0.116677584,0.0249853,0.067217568,0.121545211,0.197746886,0.375081795,0.615122445,0.118473856,0.413160355,0.54828651,0.624909941,0.691862209,0.792365545
276,WDD3,Jul-22,0.16209626,0.088721588,0.036345967,0.092366264,0.15221625,0.220037084,0.32552326,0.090861491,0.056530151,0.018993733,0.048396217,0.079922646,0.123064714,0.200514033,0.148352479,0.114451977,0.02494612,0.066871659,0.120819097,0.197955299,0.353417146,0.59868977,0.117217734,0.413628325,0.53349165,0.603086365,0.673708348,0.775654661
277,WDD2,Jul-22,0.073999019,0.049276558,0.014132464,0.035912456,0.063771601,0.102537702,0.167736782,0.059325787,0.039085882,0.012873472,0.030223255,0.050611172,0.079222827,0.135484255,0.103159919,0.082696134,0.016699704,0.044095336,0.081770082,0.13871727,0.266285504,0.763515276,0.093181359,0.60352676,0.706478567,0.771540533,0.829462165,0.899350968
278,WDD1,Jul-22,0.074075649,0.047867192,0.016008206,0.038153356,0.062972716,0.099611482,0.169076125,0.063866815,0.040858015,0.013757762,0.033224697,0.055392688,0.086947422,0.141669873,0.12025713,0.104801287,0.018029323,0.049227012,0.091644594,0.159117003,0.318341088,0.741800407,0.110161858,0.555659778,0.684398641,0.755498409,0.813606905,0.888469519
279,BHT3,Jul-22,0.050395093,0.034826901,0.009455683,0.024545428,0.042753352,0.068946244,0.116013785,0.047327017,0.032123082,0.009503816,0.023257454,0.040229553,0.063556796,0.109039843,0.07774488,0.071031605,0.0115943,0.031363837,0.059419128,0.101837742,0.201446806,0.824533009,0.081366435,0.691380734,0.783089902,0.834307398,0.879438888,0.931223971
280,BHT2,Jul-22,0.068828036,0.043854107,0.014952322,0.035217137,0.06020519,0.09382198,0.151228775,0.065919646,0.041308228,0.014347176,0.03442882,0.057294009,0.089393785,0.145110891,0.141057325,0.131962318,0.018067917,0.052338809,0.102210909,0.182244548,0.401945979,0.724194992,0.133208885,0.469456058,0.671552681,0.747297163,0.810216969,0.889211616
281,XLD4,Jul-22,0.062699958,0.043385099,0.011756293,0.029969637,0.052933172,0.085245008,0.147841658,0.050563901,0.03367507,0.009871093,0.025234861,0.043202141,0.06793905,0.116475666,0.081035169,0.0673212,0.013593778,0.034964662,0.063442723,0.108624385,0.200421041,0.805700972,0.080544123,0.670729994,0.758320213,0.813802376,0.860781129,0.919161407
282,XLD3,Jul-22,0.057170812,0.03917734,0.011202078,0.027206731,0.048212119,0.079315213,0.133695853,0.048427353,0.032293872,0.010199813,0.023666339,0.041063913,0.065816035,0.109004972,0.083817844,0.073160029,0.012198206,0.034232585,0.064285153,0.111725052,0.220796017,0.810583992,0.083469732,0.67060993,0.764451072,0.82048143,0.868579194,0.923754674
283,XLD2,Jul-22,0.055529143,0.038106753,0.010961424,0.027111467,0.046708436,0.075213504,0.132339117,0.049435523,0.032544351,0.010093171,0.024755365,0.042823951,0.066857947,0.112119356,0.087495087,0.076734366,0.012952291,0.035717758,0.064658435,0.117708489,0.23265789,0.807540247,0.08574882,0.664182641,0.762598933,0.816961785,0.866942965,0.923604595
284,XLD1,Jul-22,0.319439266,0.123227407,0.10689531,0.237042296,0.322439655,0.401002628,0.518840117,0.114411975,0.072412442,0.025907857,0.061062649,0.099399799,0.15299901,0.254818078,0.189028312,0.13651313,0.035248119,0.088946565,0.157391093,0.25118856,0.457036769,0.377120448,0.12091605,0.153449403,0.309289112,0.385856609,0.457095318,0.561648408
285,XJB4,Jul-22,0.238653405,0.108970032,0.06333714,0.15778827,0.235953794,0.314656784,0.4199844,0.09551533,0.061336119,0.02031278,0.048939409,0.08232515,0.130137195,0.211691497,0.151887957,0.118737624,0.026148609,0.068460076,0.121270608,0.204049802,0.375524803,0.513943308,0.118395713,0.317858133,0.447342136,0.518789984,0.589849499,0.69393182
286,XJB3,Jul-22,0.064177939,0.043805786,0.012267185,0.031018508,0.054797222,0.086831722,0.148809191,0.05057401,0.033296086,0.010442709,0.025610901,0.043013089,0.068474308,0.115678401,0.084090053,0.069619557,0.013151337,0.03546465,0.066245725,0.113235306,0.214392761,0.801157998,0.082168698,0.666749153,0.75162756,0.808112264,0.858703786,0.917728539
287,XJB2,Jul-22,0.066763728,0.044924478,0.013038295,0.033028767,0.056090738,0.090718828,0.156186766,0.054080056,0.035678788,0.011573276,0.026963344,0.046337547,0.073087598,0.124102242,0.092077718,0.074646681,0.014100357,0.040221501,0.073260578,0.123650426,0.230533392,0.787078498,0.086124713,0.641389708,0.736569909,0.796415389,0.847421331,0.910771284
288,XJB1,Jul-22,0.106635115,0.06529533,0.020612449,0.053542224,0.097588114,0.147121117,0.230490651,0.073680418,0.045978178,0.016810645,0.038791753,0.064394985,0.099976862,0.165284363,0.122278992,0.098273651,0.019240197,0.054381271,0.097506643,0.162332958,0.305901655,0.697405475,0.105037223,0.523764465,0.638093187,0.704508988,0.766762751,0.852049463
289,ZT,Jul-22,0.116427747,0.0693133,0.024647825,0.063014782,0.105157754,0.159947918,0.248931791,0.080717606,0.051004541,0.01784784,0.041299703,0.070666539,0.108912362,0.179974175,0.138591101,0.107813584,0.023649051,0.059062643,0.111604506,0.186511902,0.342081975,0.664263546,0.111428355,0.477816129,0.600360237,0.673157683,0.740420801,0.826513134
290,MD,Jul-22,0.132204489,0.077365328,0.027940553,0.072009285,0.119162528,0.17866021,0.276411732,0.081589762,0.0518151,0.017766673,0.04210446,0.071118422,0.110147653,0.18161603,0.133285358,0.105511353,0.022269161,0.059397782,0.107796279,0.178906504,0.317306969,0.652920391,0.11175716,0.477369359,0.591430761,0.660773322,0.724900787,0.817931894
291,FL,Jul-22,0.293467277,0.118317598,0.090559415,0.213712166,0.296365566,0.372479432,0.488417743,0.09265595,0.061612452,0.019698449,0.046302981,0.078785218,0.124624923,0.213383872,0.146099642,0.120347017,0.026621145,0.065782116,0.113962785,0.188694654,0.378054711,0.467777131,0.115937942,0.270984238,0.401391678,0.475127941,0.542659878,0.639761159
292,ZX,Jul-22,0.22883173,0.106802581,0.064455508,0.148236929,0.221672699,0.30080699,0.411048269,0.092741699,0.06019681,0.020389496,0.048131414,0.079327745,0.122899457,0.210521259,0.146824895,0.114413038,0.025876989,0.066340866,0.118269638,0.191550725,0.366257426,0.531601676,0.115832488,0.338876618,0.466219627,0.536000124,0.604546447,0.715277415
293,WZ,Jul-22,0.040146793,0.027946111,0.008219574,0.01960397,0.033623952,0.05359044,0.094710699,0.040751138,0.028660138,0.007899952,0.019552802,0.034205331,0.054255095,0.097871334,0.068259056,0.080494566,0.009418462,0.026149539,0.048568208,0.083793517,0.175289136,0.850843012,0.088008753,0.732933621,0.817472008,0.862469459,0.902384267,0.946291117
294,FJ,Jul-22,0.120890047,0.073383194,0.024986687,0.063781845,0.110013736,0.164608263,0.262847166,0.080843522,0.050372121,0.01698054,0.042647129,0.071325385,0.11005789,0.177415959,0.132613836,0.103423896,0.022520229,0.059029875,0.106439251,0.176944345,0.324727374,0.665652596,0.112639216,0.482072538,0.599679022,0.675775337,0.740678591,0.826666311
295,WS,Jul-22,0.11100399,0.067138437,0.02316781,0.058129059,0.100519567,0.1522634,0.237943463,0.079839976,0.051110186,0.016198028,0.04144571,0.069243247,0.10778354,0.177381093,0.136622898,0.109504455,0.021726192,0.058593456,0.11090907,0.184476158,0.339080973,0.672533136,0.114170553,0.483908891,0.610617464,0.681256919,0.748092977,0.83764387
296,BD,Jul-22,0.185449621,0.096641692,0.043218262,0.109723348,0.179058517,0.250303296,0.357834538,0.091496521,0.057849884,0.019284748,0.047249973,0.078730438,0.125272869,0.201555826,0.144398065,0.109633305,0.025239431,0.067490957,0.117701863,0.193343599,0.347621682,0.578655793,0.115879883,0.388589311,0.512732988,0.585357433,0.654066412,0.753577574
297,MP,Jul-22,0.063189869,0.042440645,0.012412144,0.030937061,0.054015871,0.086381129,0.144445801,0.054386938,0.036564901,0.011018568,0.02682524,0.046267982,0.073452792,0.124657178,0.092286014,0.080334086,0.013739103,0.036879833,0.070783657,0.122368358,0.241417932,0.790137179,0.090043761,0.640003785,0.742466221,0.7987027,0.853746119,0.912445728
298,SDP,Jul-22,0.178788123,0.094423433,0.03898348,0.107299267,0.170125698,0.240102489,0.34958391,0.088713653,0.055797234,0.020471875,0.047139024,0.076736507,0.119503866,0.195892907,0.139031373,0.108600389,0.024149261,0.063264254,0.111985997,0.184812837,0.338263361,0.593466851,0.113872106,0.410070806,0.52762141,0.596988109,0.667569409,0.76671321
299,WDD5,Nov-22,0.184335696,0.095391293,0.044141158,0.108061304,0.179394308,0.249098292,0.350706667,0.094812889,0.059995485,0.020690426,0.049265248,0.082862059,0.128332043,0.210762621,0.14884602,0.115686374,0.025500351,0.066481894,0.12120414,0.195787198,0.360015764,0.572005395,0.116614718,0.38055592,0.507393111,0.577414528,0.645187291,0.748359598
300,WDD4,Nov-22,0.056211659,0.037888559,0.0110955,0.027074613,0.047279172,0.076540283,0.130963609,0.05012066,0.033916816,0.010810358,0.024806052,0.042545855,0.066958242,0.115767833,0.082307078,0.069267671,0.013150715,0.034388359,0.064247942,0.108657901,0.214158327,0.811360603,0.081190686,0.673314342,0.765886879,0.819969881,0.867911416,0.924574531
301,WDD3,Nov-22,0.083058138,0.054421066,0.016024599,0.04097685,0.07149582,0.113425872,0.188628206,0.063282379,0.040754955,0.013128534,0.031790642,0.0548378,0.086260408,0.142621635,0.101300208,0.082204057,0.017122439,0.044900893,0.080673013,0.134356603,0.251508299,0.752359275,0.093643529,0.602150961,0.698904391,0.758610983,0.815750743,0.889707671
302,WDD2,Nov-22,0.113624334,0.069746736,0.022454296,0.058948251,0.101544395,0.158039693,0.246681365,0.077831263,0.048752171,0.01696734,0.039885087,0.068747463,0.105488268,0.173390582,0.128880602,0.101674125,0.021086718,0.057666033,0.102627092,0.173097882,0.321156748,0.679663801,0.108131479,0.50008649,0.618649675,0.688117319,0.749176872,0.844495383
303,WDD1,Nov-22,0.13899924,0.079884964,0.031055186,0.076304006,0.125762481,0.191374668,0.286662131,0.084222967,0.053138849,0.018025945,0.043714768,0.072951559,0.113617968,0.18838186,0.137001692,0.10687824,0.023920753,0.060728332,0.111971658,0.183145808,0.336227389,0.639776101,0.111933038,0.45753776,0.578773114,0.645435014,0.711206663,0.80846947
304,BHT3,Nov-22,0.195214963,0.098379139,0.045484887,0.119433089,0.188880995,0.264423816,0.364606804,0.094162963,0.059846346,0.0218481,0.048423759,0.082047773,0.126741837,0.210665269,0.144491221,0.111281023,0.025566392,0.065704865,0.116570806,0.190268085,0.358101753,0.566130852,0.116629779,0.386930984,0.4980003,0.564703962,0.641753589,0.753887138
305,BHT2,Nov-22,0.160465371,0.085149098,0.036725164,0.094476741,0.152792003,0.217293209,0.315762521,0.090026455,0.055537926,0.020250081,0.04738057,0.079801157,0.120296412,0.198176586,0.147431087,0.118153494,0.024933749,0.065486623,0.118209072,0.19572186,0.362418014,0.602077087,0.11912504,0.412488433,0.535738845,0.609773473,0.678014751,0.781149005
306,BHT1,Nov-22,0.141721412,0.08086698,0.027956936,0.077517386,0.132404837,0.196634429,0.284541515,0.086966544,0.054432771,0.018371182,0.044213543,0.076370834,0.117705244,0.193203311,0.140581337,0.11120562,0.022748181,0.062017592,0.1129983,0.187558103,0.343433498,0.630730707,0.114141742,0.446499271,0.566941919,0.636115743,0.704563406,0.804504392
307,XLD4,Nov-22,0.122901199,0.073390985,0.025853962,0.065324367,0.113074971,0.166694988,0.260120391,0.080596749,0.051066661,0.017521343,0.041208692,0.070578186,0.109334111,0.177975169,0.133029274,0.105220293,0.02060566,0.057918665,0.107724574,0.181315319,0.328593466,0.663472777,0.113389192,0.476226309,0.599783107,0.66883211,0.740149147,0.830188795
308,XLD3,Nov-22,0.338501414,0.123109683,0.120314842,0.258637084,0.343442988,0.420587886,0.537396392,0.087406774,0.060139984,0.017971963,0.043908468,0.073081936,0.114794196,0.208752956,0.132806256,0.105490106,0.024392837,0.061340752,0.106755725,0.173280978,0.322898081,0.441285556,0.114756538,0.240772339,0.377285374,0.446816561,0.510315774,0.620461761
309,XLD2,Nov-22,0.16982917,0.092327224,0.036657082,0.097994265,0.159775733,0.230151656,0.335320152,0.083911074,0.054299973,0.017021105,0.041879554,0.072758792,0.114102642,0.190972111,0.126978026,0.099430621,0.021752012,0.058025165,0.10231151,0.167558115,0.313081013,0.61928173,0.107806706,0.446801626,0.552805251,0.62255989,0.691076846,0.784461895
310,XLD1,Nov-22,0.264403316,0.115067037,0.072585436,0.182971533,0.265997267,0.342208935,0.453785685,0.094686611,0.063070042,0.019797785,0.047388053,0.08134162,0.127213254,0.214472053,0.148552135,0.11849734,0.026081635,0.065580038,0.118633128,0.192171,0.368441319,0.492357939,0.117021527,0.29485763,0.430372195,0.496026369,0.563459538,0.678601279
311,XJB4,Nov-22,0.219166253,0.102616239,0.056005929,0.141848787,0.21516102,0.291603722,0.393722966,0.091994367,0.059622115,0.019610837,0.047603617,0.078266463,0.123450311,0.209950476,0.143595147,0.11341333,0.024391718,0.064569374,0.115114268,0.188795099,0.353915498,0.545244234,0.114355996,0.355780214,0.480808759,0.550526385,0.616485619,0.72065427
