Sampling	PON_PP	ND	RA	HRT	DSUP	DSDW	RPON	RPP	CL	IS	HAI
72	2.024	8	5	13	15	142	10.405	-170.909	23.19493343	0.27526278	0.205004508
73	1.055	8	5	13	10	147	10.405	-170.909	27.69271531	0.295906981	0.185315414
74	1.154	8	5	13	2	155	10.405	-170.909	37.80259925	0.490782386	0.435701807
75	4.372	7	5	41	21	621.68	-176.017	-34.885	40.5861754	0.09044344	0.137963423
76	0.924	7	5	41	11	631.68	-176.017	-34.885	37.58776355	0.069038957	0.025314291
77	0.85	7	5	41	4	638.68	-176.017	-34.885	41.83240645	0.422894381	1.039457456
78	2.416	8	6	11	152	5	60.571	-79.28	43.43983104	0.916495129	2.631035666
79	0.688	8	6	11	143	14	60.571	-79.28	42.95719299	0.932442503	2.816571231
80	0.93	8	6	11	124	33	60.571	-79.28	32.47765156	0.912407364	1.655541116
81	0.914	8	6	12	102	55	60.571	-79.28	24.90962405	0.242658467	0.164698871
82	0.955	8	6	12	59	98	60.571	-79.28	26.16443033	0.40913966	0.235961616
83	6.966	8	6	13	34	123	60.571	-79.28	27.26149456	0.640472839	0.542698206
84	1.451	8	6	13	28	129	60.571	-79.28	25.52357271	0.632962184	0.573325494
85	0.928	8	6	13	15	142	60.571	-79.28	23.19493343	0.27526278	0.205004508
86	0.866	8	6	13	10	147	60.571	-79.28	27.69271531	0.295906981	0.185315414
87	0.947	8	6	13	2	155	60.571	-79.28	37.80259925	0.490782386	0.435701807
88	11.611	8	13	50	778	271.67	47.501	25.811	89.12730835	2.462450527	3.381663791
89	3.063	9	13	50	592	444.67	47.501	25.811	57.48541818	21.17487609	330.8983026
90	9.241	9	13	50	493	556.67	47.501	25.811	60.76520468	3.039979823	21.92873527
91	46.122	9	13	50	378	671.67	47.501	25.811	51.18169312	2.55942221	3.550068955
92	10.403	9	13	50	289	760.67	47.501	25.811	50.32685233	3.939169291	17.97847639
93	35.044	9	13	50	230	819.67	47.501	25.811	45.33299196	1.561019229	9.127421455
94	18.872	9	13	50	127	922.67	47.501	25.811	34.96932672	1.034331659	1.760675941
95	5.325	9	13	50	4	1045.67	47.501	25.811	13.3334777	1.213720854	1.995564718
96	4.54	7	5	17	11	631.68	-85.361	13.333	37.32910259	0.077702354	0.086531234
97	6.381	7	5	17	4	638.68	-85.361	13.333	41.27646511	0.439338992	1.076453841
98	9.711	8	6	10	102	55	54.02	-13.158	23.67495532	0.25081237	0.169402677
99	30.423	8	6	10	59	98	54.02	-13.158	24.85447009	0.444550876	0.246859472
100	19.179	8	6	13	34	123	54.02	-13.158	26.29489177	0.677811082	0.568085703
101	12.562	8	6	12	28	129	54.02	-13.158	24.6754289	0.658441142	0.596358822
102	10.748	8	6	11	15	142	54.02	-13.158	22.80592026	0.284319258	0.210559095
103	16.082	8	6	12	10	147	54.02	-13.158	27.3010527	0.306484322	0.191013815
104	7.528	8	6	12	2	155	54.02	-13.158	37.44535477	0.518301693	0.460098212
105	1.017	8	13	11	778	271.67	-9.887	78.972	89.12730835	2.462450527	3.381663791
106	0.863	9	13	11	592	444.67	-9.887	78.972	57.48541818	21.17487609	330.8983026
107	1.583	9	13	12	493	556.67	-9.887	78.972	60.76520468	3.039979823	21.92873527
108	3.122	9	13	12	378	671.67	-9.887	78.972	51.18169312	2.55942221	3.550068955
109	4.675	9	13	16	289	760.67	-9.887	78.972	50.32685233	3.939169291	17.97847639
110	6.011	9	13	18	230	819.67	-9.887	78.972	45.33299196	1.561019229	9.127421455
