Sampling	POC_PP	ND	RA	HRT	DSUP	DSDW	RPOC	RPP	CL	IS	HAI
72	14.396	8	5	13	15	142	15.889	-170.909	23.19493343	0.27526278	0.205004508
73	7.784	8	5	13	10	147	15.889	-170.909	27.69271531	0.295906981	0.185315414
74	7.932	8	5	13	2	155	15.889	-170.909	37.80259925	0.490782386	0.435701807
75	25.726	7	5	41	21	621.68	-137.178	-34.885	40.5861754	0.09044344	0.137963423
76	6.665	7	5	41	11	631.68	-137.178	-34.885	37.58776355	0.069038957	0.025314291
77	5.335	7	5	41	4	638.68	-137.178	-34.885	41.83240645	0.422894381	1.039457456
78	13.538	8	6	11	152	5	38.197	-79.28	43.43983104	0.916495129	2.631035666
79	4.98	8	6	11	143	14	38.197	-79.28	42.95719299	0.932442503	2.816571231
80	7.048	8	6	11	124	33	38.197	-79.28	32.47765156	0.912407364	1.655541116
81	9.307	8	6	12	102	55	38.197	-79.28	24.90962405	0.242658467	0.164698871
82	7.05	8	6	12	59	98	38.197	-79.28	26.16443033	0.40913966	0.235961616
83	42.412	8	6	13	34	123	38.197	-79.28	27.26149456	0.640472839	0.542698206
84	11.241	8	6	13	28	129	38.197	-79.28	25.52357271	0.632962184	0.573325494
85	8.289	8	6	13	15	142	38.197	-79.28	23.19493343	0.27526278	0.205004508
86	5.944	8	6	13	10	147	38.197	-79.28	27.69271531	0.295906981	0.185315414
87	7.809	8	6	13	2	155	38.197	-79.28	37.80259925	0.490782386	0.435701807
88	32.039	8	13	50	778	271.67	62.273	25.811	89.12730835	2.462450527	3.381663791
89	17.542	9	13	50	592	444.67	62.273	25.811	57.48541818	21.17487609	330.8983026
90	38.607	9	13	50	493	556.67	62.273	25.811	60.76520468	3.039979823	21.92873527
91	171.976	9	13	50	378	671.67	62.273	25.811	51.18169312	2.55942221	3.550068955
92	39.445	9	13	50	289	760.67	62.273	25.811	50.32685233	3.939169291	17.97847639
93	111.495	9	13	50	230	819.67	62.273	25.811	45.33299196	1.561019229	9.127421455
94	30.858	9	13	50	127	922.67	62.273	25.811	34.96932672	1.034331659	1.760675941
95	21.593	9	13	50	4	1045.67	62.273	25.811	13.3334777	1.213720854	1.995564718
96	19.291	7	5	17	11	631.68	-16.24	13.333	37.32910259	0.077702354	0.086531234
